;id;org:resource;concept:name;time:timestamp;org:role;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;object:name;action:name;action:status;org:actor:name;org:actor:name:a
0;st_step 86794_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 09:49:50+01:00;EMPLOYEE;declaration 86791;budget 86566;declaration number 86792;26.85120450862128; declaration, employee; submitted;; employee;, STAFF MEMBER
1;st_step 86793_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 11:27:48+01:00;SUPERVISOR;declaration 86791;budget 86566;declaration number 86792;26.85120450862128; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
2;dd_declaration 86791_19;SYSTEM;Request Payment;2017-01-10 09:34:44+01:00;UNDEFINED;declaration 86791;budget 86566;declaration number 86792;26.85120450862128; payment; request;;;, SYSTEM
3;dd_declaration 86791_20;SYSTEM;Payment Handled;2017-01-12 17:31:22+01:00;UNDEFINED;declaration 86791;budget 86566;declaration number 86792;26.85120450862128; payment; handled;;;, SYSTEM
4;st_step 86798_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 10:26:14+01:00;EMPLOYEE;declaration 86795;budget 86566;declaration number 86796;182.46417204248664; declaration, employee; submitted;; employee;, STAFF MEMBER
5;st_step 86799_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-02-22 10:29:21+01:00;PRE_APPROVER;declaration 86795;budget 86566;declaration number 86796;182.46417204248664; declaration, pre; approved, approver;; pre approver;, STAFF MEMBER
6;st_step 86797_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-23 08:14:45+01:00;SUPERVISOR;declaration 86795;budget 86566;declaration number 86796;182.46417204248664; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
7;dd_declaration 86795_19;SYSTEM;Request Payment;2017-03-06 14:07:25+01:00;UNDEFINED;declaration 86795;budget 86566;declaration number 86796;182.46417204248664; payment; request;;;, SYSTEM
8;dd_declaration 86795_20;SYSTEM;Payment Handled;2017-03-13 17:30:59+01:00;UNDEFINED;declaration 86795;budget 86566;declaration number 86796;182.46417204248664; payment; handled;;;, SYSTEM
9;st_step 86814_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 12:14:36+01:00;EMPLOYEE;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; declaration, employee; submitted;; employee;, STAFF MEMBER
10;st_step 86813_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 12:14:49+01:00;SUPERVISOR;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
11;st_step 86815_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-10 15:35:19+01:00;MISSING;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; declaration; rejected;; missing;, STAFF MEMBER
12;st_step 86812_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-20 14:43:27+01:00;EMPLOYEE;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; declaration, employee; submitted;; employee;, STAFF MEMBER
13;st_step 86811_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-20 14:44:43+01:00;SUPERVISOR;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
14;dd_declaration 86809_19;SYSTEM;Request Payment;2017-01-27 10:55:21+01:00;UNDEFINED;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; payment; request;;;, SYSTEM
15;dd_declaration 86809_20;SYSTEM;Payment Handled;2017-01-30 17:31:35+01:00;UNDEFINED;declaration 86809;budget 86566;declaration number 86810;333.4409095020257; payment; handled;;;, SYSTEM
16;st_step 86728_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 15:57:21+01:00;EMPLOYEE;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, employee; submitted;; employee;, STAFF MEMBER
17;st_step 86729_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 15:57:24+01:00;SUPERVISOR;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
18;st_step 86730_0;STAFF MEMBER;Declaration REJECTED by MISSING;2017-01-10 13:08:27+01:00;MISSING;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration; rejected;; missing;, STAFF MEMBER
19;st_step 86725_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-17 16:51:42+01:00;EMPLOYEE;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, employee; submitted;; employee;, STAFF MEMBER
20;st_step 86726_0;STAFF MEMBER;Declaration REJECTED by PRE_APPROVER;2017-01-17 16:51:54+01:00;PRE_APPROVER;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, pre; rejected, approver;; pre approver;, STAFF MEMBER
21;st_step 86727_0;STAFF MEMBER;Declaration REJECTED by EMPLOYEE;2017-01-19 12:19:38+01:00;EMPLOYEE;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, employee; rejected;; employee;, STAFF MEMBER
22;st_step 86724_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-19 16:13:16+01:00;EMPLOYEE;declaration 86720;budget 86566;declaration number 86721;105.60407429637942; declaration, employee; submitted;; employee;, STAFF MEMBER
