;id;org:resource;concept:name;time:timestamp;org:role;case:OrganizationalEntity;case:ProjectNumber;case:TaskNumber;case:dec_id_0;case:ActivityNumber;case:TotalDeclared;case:concept:name;case:RequestedAmount_0;case:Overspent;case:travel permit number;case:DeclarationNumber_0;case:RequestedBudget;case:BudgetNumber;case:OverspentAmount;case:RfpNumber_0;case:OrganizationalEntity_0;case:Rfp_id_0;case:Cost Type_0;case:dec_id_1;case:Activity_0;case:Task_0;case:Project_0;case:DeclarationNumber_1;case:RequestedAmount_1;case:Activity_1;case:dec_id_2;case:RfpNumber_1;case:OrganizationalEntity_1;case:Cost Type_1;case:Task_1;case:Rfp_id_1;case:Project_1;case:DeclarationNumber_2;case:RequestedAmount_2;case:dec_id_3;case:dec_id_4;case:DeclarationNumber_4;case:RequestedAmount_4;case:RequestedAmount_3;case:DeclarationNumber_3;case:Activity_2;case:Cost Type_2;case:RfpNumber_2;case:OrganizationalEntity_2;case:Project_2;case:Rfp_id_2;case:Task_2;case:Activity_3;case:Cost Type_3;case:RfpNumber_3;case:OrganizationalEntity_3;case:Project_3;case:Rfp_id_3;case:Task_3;case:RequestedAmount_9;case:dec_id_5;case:dec_id_6;case:dec_id_9;case:dec_id_7;case:dec_id_8;case:DeclarationNumber_8;case:DeclarationNumber_9;case:DeclarationNumber_5;case:DeclarationNumber_6;case:DeclarationNumber_7;case:RequestedAmount_8;case:RequestedAmount_6;case:RequestedAmount_5;object:name;action:name;action:status;org:actor:name;org:actor:name:a
0;rv_travel permit 76455_6;STAFF MEMBER;Start trip;2016-10-05 00:00:00+02:00;EMPLOYEE;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; start;;;, STAFF MEMBER
1;rv_travel permit 76455_7;STAFF MEMBER;End trip;2016-10-05 00:00:00+02:00;EMPLOYEE;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; trip, employee; end;;;, STAFF MEMBER
2;st_step 76459_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-04-06 13:32:10+02:00;EMPLOYEE;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit, employee; submitted;; employee;, STAFF MEMBER
3;st_step 76460_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-04-06 13:32:28+02:00;SUPERVISOR;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
4;st_step 76461_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-04-07 13:38:14+02:00;EMPLOYEE;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration, employee; submitted;; employee;, STAFF MEMBER
5;st_step 76462_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-04-07 13:40:17+02:00;SUPERVISOR;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; declaration; approved; final; supervisor, supervisor;, STAFF MEMBER
6;fd_declaration 76457_17;SYSTEM;Request Payment;2017-04-11 15:03:43+02:00;UNDEFINED;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; request;;;, SYSTEM
7;fd_declaration 76457_18;SYSTEM;Payment Handled;2017-04-13 17:30:53+02:00;UNDEFINED;organizational unit 65458;UNKNOWN;UNKNOWN;declaration 76457;activity 46005;39.66456144659199;travel permit 76455;56;False;travel permit number 76456;declaration number 76458;41.613444658859;budget 922;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; payment; handled;;;, SYSTEM
8;st_step 72820_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-09 11:21:03+01:00;EMPLOYEE;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit, employee; submitted;; employee;, STAFF MEMBER
9;st_step 72819_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-09 11:21:22+01:00;SUPERVISOR;organizational unit 65458;project 54409;task 427;declaration 72817;UNKNOWN;614.0805294164306;travel permit 72815;655;False;travel permit number 72816;declaration number 72818;1015.9786071612517;budget 974;-300.00880826451566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
