;id;org:resource;concept:name;time:timestamp;org:role;case:Permit travel permit number;case:Task;case:OrganizationalEntity;case:RequestedAmount;case:Activity;case:Permit TaskNumber;case:Permit BudgetNumber;case:Permit ProjectNumber;case:Project;case:concept:name;case:Permit OrganizationalEntity;case:Permit RequestedBudget;case:Cost Type;case:Permit id;case:Permit ActivityNumber;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
0;st_step 73555_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-09 14:48:43+01:00;EMPLOYEE;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; permit, employee; submitted;; employee;, STAFF MEMBER
1;st_step 73554_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-09 14:48:55+01:00;SUPERVISOR;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
2;st_step 73558_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-12 11:40:27+01:00;EMPLOYEE;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; request for payment, employee; submitted;; employee;, STAFF MEMBER
3;st_step 73559_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-12 11:41:59+01:00;SUPERVISOR;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
4;st_step 73557_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-01-12 11:53:07+01:00;MISSING;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; request for payment; rejected;; missing;, STAFF MEMBER
5;st_step 73556_0;STAFF MEMBER;Permit REJECTED by MISSING;2017-07-28 10:10:18+02:00;MISSING;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73550;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73551; permit; rejected;; missing;, STAFF MEMBER
6;st_step 73555_0;STAFF MEMBER;Permit SUBMITTED by EMPLOYEE;2017-01-09 14:48:43+01:00;EMPLOYEE;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; permit, employee; submitted;; employee;, STAFF MEMBER
7;st_step 73554_0;STAFF MEMBER;Permit FINAL_APPROVED by SUPERVISOR;2017-01-09 14:48:55+01:00;SUPERVISOR;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; permit; approved; final; supervisor, supervisor;, STAFF MEMBER
8;st_step 73561_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-19 18:47:18+01:00;EMPLOYEE;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; request for payment, employee; submitted;; employee;, STAFF MEMBER
9;st_step 73560_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-19 18:47:21+01:00;SUPERVISOR;UNKNOWN;task 71977;organizational unit 65463;854.5798378437331;activity 505;UNKNOWN;budget 6198;UNKNOWN;project 503;request for payment 73552;organizational unit 65455;1979.272103997747;0;travel permit 73549;UNKNOWN;request for payment number 73553; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
