;id;org:resource;concept:name;time:timestamp;org:role;case:Project;case:Task;case:concept:name;case:OrganizationalEntity;case:Cost Type;case:RequestedAmount;case:Activity;case:RfpNumber;object:name;action:name;action:status;org:actor:name;org:actor:name:a
0;st_step 148220_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-09 09:17:18+01:00;EMPLOYEE;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment, employee; submitted;; employee;, STAFF MEMBER
1;st_step 148221_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-09 09:18:00+01:00;SUPERVISOR;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
2;st_step 148222_0;STAFF MEMBER;Request For Payment REJECTED by MISSING;2017-01-10 12:42:32+01:00;MISSING;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment; rejected;; missing;, STAFF MEMBER
3;st_step 148219_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-03-03 09:51:13+01:00;EMPLOYEE;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment, employee; submitted;; employee;, STAFF MEMBER
4;st_step 148218_0;STAFF MEMBER;Request For Payment APPROVED by PRE_APPROVER;2017-03-03 09:51:42+01:00;PRE_APPROVER;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment, pre; approved, approver;; pre approver;, STAFF MEMBER
5;st_step 148217_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-03-06 08:55:50+01:00;SUPERVISOR;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
6;rp_request for payment 148214_15;SYSTEM;Request Payment;2017-03-08 11:22:42+01:00;UNDEFINED;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; payment; request;;;, SYSTEM
7;rp_request for payment 148214_16;SYSTEM;Payment Handled;2017-03-16 17:31:12+01:00;UNDEFINED;project 148216;UNKNOWN;request for payment 148214;organizational unit 65463;0;34.33634285099345;UNKNOWN;request for payment number 148215; payment; handled;;;, SYSTEM
8;st_step 149293_0;STAFF MEMBER;Request For Payment SUBMITTED by EMPLOYEE;2017-01-09 10:30:48+01:00;EMPLOYEE;project 147843;UNKNOWN;request for payment 149290;organizational unit 65458;0;15.182427838036624;UNKNOWN;request for payment number 149291; request for payment, employee; submitted;; employee;, STAFF MEMBER
9;st_step 149292_0;STAFF MEMBER;Request For Payment FINAL_APPROVED by SUPERVISOR;2017-01-09 10:31:42+01:00;SUPERVISOR;project 147843;UNKNOWN;request for payment 149290;organizational unit 65458;0;15.182427838036624;UNKNOWN;request for payment number 149291; request for payment; approved; final; supervisor, supervisor;, STAFF MEMBER
