;amount;org:resource;dismissal;concept:name;vehicleClass;totalPaymentAmount;lifecycle:transition;time:timestamp;article;points;case:concept:name;expense;notificationType;lastSent;paymentAmount;matricola;object:name;action:name;action:status:a;org:actor:name;org:actor:instance:a;org:passive:name
0;35.0;561;NIL;Create Fine;A;0.0;complete;2006-07-24 00:00:00+02:00;157.0;0.0;A1;;;;;; fine; create;, complete;;, 561;
1;;;;Send Fine;;;complete;2006-12-05 00:00:00+01:00;;;A1;11.0;;;;; fine; send;, complete;;, nan;
2;35.0;561;NIL;Create Fine;A;0.0;complete;2006-08-02 00:00:00+02:00;157.0;0.0;A100;;;;;; fine; create;, complete;;, 561;
3;;;;Send Fine;;;complete;2006-12-12 00:00:00+01:00;;;A100;11.0;;;;; fine; send;, complete;;, nan;
4;;;;Insert Fine Notification;;;complete;2007-01-15 00:00:00+01:00;;;A100;;P;P;;; fine notification; insert;, complete;;, nan;
5;71.5;;;Add penalty;;;complete;2007-03-16 00:00:00+01:00;;;A100;;;;;; penalty; add;, complete;;, nan;
6;;;;Send for Credit Collection;;;complete;2009-03-30 00:00:00+02:00;;;A100;;;;;; for credit collection; send;, complete;;, nan;
7;36.0;561;NIL;Create Fine;A;0.0;complete;2007-03-09 00:00:00+01:00;157.0;0.0;A10000;;;;;; fine; create;, complete;;, 561;
8;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10000;13.0;;;;; fine; send;, complete;;, nan;
9;;;;Insert Fine Notification;;;complete;2007-08-02 00:00:00+02:00;;;A10000;;P;P;;; fine notification; insert;, complete;;, nan;
10;74.0;;;Add penalty;;;complete;2007-10-01 00:00:00+02:00;;;A10000;;;;;; penalty; add;, complete;;, nan;
11;;;;Payment;;87.0;complete;2008-09-09 00:00:00+02:00;;;A10000;;;;87.0;;; payment;, complete;;, nan;
12;36.0;537;NIL;Create Fine;A;0.0;complete;2007-03-19 00:00:00+01:00;157.0;0.0;A10001;;;;;; fine; create;, complete;;, 537;
13;;;;Send Fine;;;complete;2007-07-17 00:00:00+02:00;;;A10001;13.0;;;;; fine; send;, complete;;, nan;
14;;;;Insert Fine Notification;;;complete;2007-07-25 00:00:00+02:00;;;A10001;;P;P;;; fine notification; insert;, complete;;, nan;
15;;;;Insert Date Appeal to Prefecture;;;complete;2007-08-02 00:00:00+02:00;;;A10001;;;;;; date appeal; insert;, complete;;, nan; prefecture
16;74.0;;;Add penalty;;;complete;2007-09-23 00:00:00+02:00;;;A10001;;;;;; penalty; add;, complete;;, nan;
